id,source,target,sourceLanguage,targetLanguage,level,categories,example1_source,example1_target,example2_source,example2_target
en:hello,hello,hola,en-US,es-ES,beginner,greetings,Hello! How are you?,Hola! Como estas?,,
en:house,house,casa,en-US,es-ES,beginner,home,The house is big.,La casa es grande.,,
en:work,work,trabajo,en-US,es-ES,beginner,work,I have a lot of work today.,Tengo mucho trabajo hoy.,,
en:to-eat,to eat,comer,en-US,es-ES,beginner,food|daily-life,I want to eat now.,Quiero comer ahora.,,
en:car,car,coche,en-US,es-ES,beginner,travel|daily-life,The car is outside.,El coche esta afuera.,,
en:water,water,agua,en-US,es-ES,beginner,nature|daily-life,I need to drink more water.,Necesito beber más agua.,,
en:food,food,comida,en-US,es-ES,beginner,food,The food is ready.,La comida está lista.,,
en:dog,dog,perro,en-US,es-ES,intermediate,animals,My dog runs in the park.,Mi perro corre en el parque.,,
en:cat,cat,gato,en-US,es-ES,advanced,animals,Her cat is sleeping.,Su gato está durmiendo.,,
en:book,book,libro,en-US,es-ES,beginner,education,I'm reading a good book.,Estoy leyendo un buen libro.,,
en:door,door,puerta,en-US,es-ES,beginner,home,Please close the door.,Por favor cierra la puerta.,,
en:window,window,ventana,en-US,es-ES,intermediate,home,"Open the window, it's hot in here.","Abre la ventana, hace calor aquí.",,
en:table,table,mesa,en-US,es-ES,advanced,home,We need a bigger table.,Necesitamos una mesa más grande.,,
en:chair,chair,silla,en-US,es-ES,beginner,home,Sit down on that chair.,Siéntate en esa silla.,,
en:bed,bed,cama,en-US,es-ES,beginner,home,I go to bed at ten.,Me acuesto a las diez.,,
en:bathroom,bathroom,bano,en-US,es-ES,intermediate,home,Where is the bathroom?,¿Dónde está el baño?,,
en:kitchen,kitchen,cocina,en-US,es-ES,advanced,home,We're in the kitchen.,Estamos en la cocina.,,
en:garden,garden,jardin,en-US,es-ES,beginner,nature|home,The children are playing in the garden.,Los niños juegan en el jardín.,,
en:street,street,calle,en-US,es-ES,beginner,travel,We live on a quiet street.,Vivimos en una calle tranquila.,,
en:city,city,ciudad,en-US,es-ES,intermediate,travel,I love this city.,Me encanta esta ciudad.,,
en:country,country,pais,en-US,es-ES,advanced,travel,She moved to another country.,Se mudó a otro país.,,
